Support / Oppose,Candidate,Amount,Purchase,Name,Office,Date,Aggregate Amount
Support,"Cruz, Rafael Edward 'Ted'","$15,881.00",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$15,881.00",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Oppose,"Rubio, Marco","$15,505.50",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$346,599.41"
Support,"Cruz, Rafael Edward 'Ted'","$13,775.37",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Oppose,"Rubio, Marco","$12,868.80",Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$358,306.27"
Support,"Cruz, Rafael Edward 'Ted'","$11,947.94",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Oppose,"Rubio, Marco","$11,767.50",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$229,473.24"
Support,"Cruz, Rafael Edward 'Ted'","$11,702.00",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$11,496.00",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Oppose,"Clinton, Hillary","$11,000.00",Media,Make America Number 1,Presidential,2016-09-09,"$299,157.00"
Oppose,"Clinton, Hillary","$11,000.00",Media,Make America Number 1,Presidential,2016-10-03,"$1,498,666.50"
Oppose,"Rubio, Marco","$10,255.00",Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$338,723.47"
Oppose,"Rubio, Marco","$10,000.00",Media,KEEP THE PROMISE I,Presidential,2016-01-14,"$154,929.89"
Oppose,"Rubio, Marco","$8,937.50",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$243,888.74"
Support,"Cruz, Rafael Edward 'Ted'","$8,650.75",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$44,782.83"
Oppose,"Rubio, Marco","$8,449.14",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$367,987.72"
Support,"Cruz, Rafael Edward 'Ted'","$8,156.20",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$8,156.20",Media,KEEP THE PROMISE I,Presidential,2015-12-10,$0.00
Oppose,"Rubio, Marco","$7,889.50",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$319,316.91"
Support,"Cruz, Rafael Edward 'Ted'","$7,237.04",Media,KEEP THE PROMISE I,Presidential,2015-11-18,$0.00
Oppose,"Rubio, Marco","$6,743.00",Media,KEEP THE PROMISE I,Presidential,2015-12-10,"$326,059.91"
