Support / Oppose,Candidate,Amount,Name,Purchase,Office,Date,Aggregate Amount
Support,"Toth, Steve","$2,000.00","Facebook, Inc.",Facebook Ads supporting Steve Toth,State,,$0.00
Support,"Trump, Donald J.","$1,962.16",Facebook.com,Internet Advertising,Presidential,2016-11-01,"$7,663.18"
Support,"Cruz, Rafael 'Ted'","$1,954.68",Facebook,Digital Media Production/Placement - UTAH,Presidential,2016-03-18,"$2,247,839.56"
Support,"Trump, Donald J.","$1,947.58",Facebook.com,Internet Advertising,Presidential,2016-11-02,"$10,000.00"
Support,"Trump, Donald","$1,943.72",Twitter Inc,Promoted Tweets/Twitter handle,Presidential,2016-11-05,$0.00
Support,"Trump, Donald","$1,943.72",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-03,$0.00
Support,"Trump, Donald","$1,916.00",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-04,$0.00
Support,"Trump, Donald","$1,916.00",Twitter Inc,Promoted Tweets/Twitter handle,Presidential,2016-11-06,$0.00
Support,"Trump, Donald J.","$1,900.00",Facebook.com,Internet Advertising,Presidential,2016-11-04,"$15,000.00"
Support,"Trump, Donald","$1,893.28",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-06,$0.00
Support,"Trump, Donald","$1,890.03",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-10-30,$0.00
Support,"Trump, Donald","$1,887.84",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-05,$0.00
Support,"Cruz, Ted","$1,854.97",Facebook,Digital Media Production/Placement,Presidential,2016-01-21,"$31,225.44"
Support,"Cruz, Rafael 'Ted'","$1,850.69",Google,Digital Media Production/Placement - ARKANSAS,Presidential,2016-02-28,"$666,577.79"
Support,"Cruz, Rafael 'Ted'","$1,822.08",Facebook,Digital Media Production/Placement - NORTH CAROLINA,Presidential,2016-03-09,"$1,263,840.40"
Support,"Kingson, Eric R. Mr.","$1,812.17",Google,Web Ads,State,2016-06-17,"$14,312.17"
Support,"Cruz, Rafael 'Ted'","$1,810.15",Facebook,Digital Media Production/Placement,Presidential,2015-07-31,"$6,914.00"
Support,"Clinton, Hillary","$1,800.00",Facebook,Digital media buy (Estimated),Presidential,2016-09-16,"$18,423.06"
Support,"Cruz, Ted","$1,795.58",Facebook,Digital Media Production/Placement,Presidential,2016-01-23,"$175,781.88"
Support,"Cruz, Ted","$1,794.29",Facebook,Digital Media Production/Placement,Presidential,2016-01-20,"$25,993.04"
Oppose,"Brady, Kevin","$1,787.82","Facebook, Inc.",Facebook Ad,State,,$0.00
Support,"Toth, Steve","$1,787.82","Facebook, Inc.",Facebook Ads,State,,$0.00
Support,"Kander, Jason","$1,782.27",Amazon,Equipment for Canvassing / Phone Banks,State,2016-10-20,$0.00
Oppose,"Bush, Jeb","$1,750.00",Google,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Cruz, Rafael Edward Ted","$1,750.00",Google,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Rubio, Marco","$1,750.00",Google,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Trump, Donald J","$1,750.00",Google,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Support,"Cruz, Rafael 'Ted'","$1,743.01",Google,Digital Media Production/Placement,Presidential,2016-02-27,"$601,369.51"
Support,"Trump, Donald J.","$1,701.02",Facebook.com,Internet Advertising,Presidential,2016-10-31,"$5,701.02"
Support,"Cruz, Rafael 'Ted'","$1,697.21",Facebook,Digital Media Production/Placement - ARKANSAS,Presidential,2016-02-28,"$664,727.10"
Support,"Cruz, Rafael 'Ted'","$1,693.53",Facebook,Digital Media Production/Placement - ALASKA,Presidential,2016-02-28,"$668,271.32"
Support,"Cruz, Rafael Edward 'Ted'","$1,681.50",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-22,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$1,657.41",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-24,$0.00
Support,"Cruz, Rafael 'Ted'","$1,657.33",Facebook,Digital Media Production/Placement,Presidential,2015-12-03,"$22,112.63"
Support,"Cruz, Rafael Edward 'Ted'","$1,657.33",Facebook - [Memo Item],Digital Media Production/Placement,Presidential,2015-12-03,$0.00
Support,"Feingold, Russell Dana","$1,652.00",Twitter,Online ads,State,2016-10-14,"$9,152.00"
Support,"Teachout, Zephyr","$1,650.00",Google,Estimated Cost: Online Advertising Services,State,,"$17,146.13"
Support,"Cruz, Rafael 'Ted'","$1,628.55",Google,Digital Media Production/Placement,Presidential,2016-02-27,"$599,965.91"
Support,"Cruz, Ted","$1,611.08",Facebook,Digital Media Production/Placement,Presidential,2016-01-22,"$164,700.63"
Support,"Cruz, Rafael 'Ted'","$1,603.85",Facebook,Digital Media Production/Placement,Presidential,2015-07-30,"$5,103.85"
Oppose,"Trump, Donald J","$1,600.00",Facebook,Digital Advertisement,Presidential,2016-06-16,"$1,600.00"
Support,"Cruz, Ted","$1,592.06",Facebook,Digital Media Production/Placement,Presidential,2016-01-23,"$177,373.94"
Oppose,"Clinton, Hillary Rodham","$1,574.00","Google, Inc.",Ads,Presidential,2016-11-04,"$307,832.78"
Oppose,"Kander, Jason","$1,574.00","Google, Inc.",Ads,State,2016-11-04,"$51,446.70"
Oppose,"Trump, Donald","$1,550.90",Amazon.com,Candles and Mailing Tubes,Presidential,2016-06-15,"$3,855.90"
Oppose,"Rubio, Marco","$1,546.00",Facebook,Digital Media Production/Placement,Presidential,2016-01-31,"$279,242.78"
Support,"Cruz, Rafael 'Ted'","$1,516.12",Facebook,Digital Media Production/Placement,Presidential,2016-02-26,"$575,833.60"
Support,"Cruz, Ted","$1,513.78",Facebook,Digital Media Production/Placement,Presidential,2016-01-20,"$28,782.25"
Support,"Susie, Lee","$1,503.58",Facebook,Digital Advertising,State,2016-06-13,"$25,863.98"
Oppose,"Clinton, Hillary","$1,501.51",Facebook,Online Ads,Presidential,2016-11-07,"$63,917.10"
Oppose,"Bayh, Evan","$1,500.00",Facebook Inc.,Digital Web Ad Placement (Don't Bayh It),State,2016-10-17,"$968,437.50"
Support,"Cruz, Rafael Edward 'Ted'","$1,500.00",Facebook,Digital advertising,Presidential,2016-01-30,"$5,000.00"
Support,"Cruz, Rafael Edward 'Ted'","$1,500.00",Facebook,Online ads,Presidential,2016-04-26,"$1,500.00"
Support,"Trump, Donald","$1,500.00",FACEBOOK INC.,ESTIMATED JULY FACEBOOK ADVERTISING,Presidential,2016-07-11,"$4,036,806.47"
Support,"Clinton, Hillary Rodham","$1,500.00",Facebook,Online Advertising,Presidential,2016-10-21,"$278,737.17"
Oppose,"Griffin, William Taylor","$1,500.00",Google,Estimated Cost for Online Advertising,State,,"$4,500.00"
Support,"Jones, Walter B.","$1,500.00",Google,Estimated Cost for Online Advertising,State,,"$4,500.00"
Oppose,"Trump, Donald J.","$1,500.00",Facebook,Digital Advertising,Presidential,,"$302,270.95"
Support,"Clinton, Hillary Rodham","$1,500.00",Facebook,Advertising - Internet,Presidential,2016-11-02,"$60,690.82"
Support,"Clinton, Hillary Rodham","$1,500.00",Facebook,Advertising - Internet,Presidential,2016-11-02,"$60,566.51"
Oppose,"Trump, Donald J.","$1,500.00",Facebook,Advertising - Internet,Presidential,2016-11-02,"$59,190.82"
Oppose,"Trump, Donald J.","$1,500.00",Facebook,Advertising - Internet,Presidential,2016-11-02,"$59,066.51"
Oppose,"Trump, Donald","$1,500.00",Facebook,Digital ad placement,Presidential,2016-11-04,"$224,086.10"
Oppose,"Brady, Kevin","$1,500.00","Facebook, Inc.",Facebook Ad,State,,$0.00
Support,"Cruz, Ted","$1,497.45",Facebook,Digital Media Production/Placement,Presidential,2016-01-19,"$15,676.03"
Oppose,"Clinton, Hillary Rodham","$1,455.65",Facebook,"9/13-9/26 Facebooks ads across 50 states,reporting based on single entry reporting in AO-2003-440",Presidential,2016-09-13,"$1,455.65"
Support,"Clinton, Hillary Rodham","$1,450.00",Facebook,Advertising - Internet,Presidential,2016-11-03,"$62,719.32"
Support,"Cruz, Rafael 'Ted'","$1,408.33",Google,Digital Media Production/Placement,Presidential,2016-02-26,"$576,822.32"
Support,"Cruz, Rafael 'Ted'","$1,369.05",Facebook,Digital Media Production/Placement,Presidential,2016-02-25,"$554,146.53"
Support,"Trump, Donald","$1,343.59",Twitter Inc,Promoted Tweets/Twitter handle,Presidential,2016-11-02,$0.00
Support,"Trump, Donald","$1,343.59",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-02,$0.00
